sqb.sqa,mV
0,0.4999505049000149
1,12.78772378516624
2,25.510204081632654
3,38.167938931297705
4,50.76142131979695
5,63.29113924050633
6,75.75757575757575
7,88.16120906801008
8,100.50251256281408
9,112.78195488721805
10,125.0
11,137.15710723192018
12,149.25373134328356
13,161.29032258064515
14,173.26732673267327
15,185.1851851851852
16,12.78772378516624
17,25.510204081632654
18,38.167938931297705
19,50.76142131979695
20,63.29113924050633
21,75.75757575757575
22,88.16120906801008
23,100.50251256281408
24,112.78195488721805
25,125.0
26,137.15710723192018
27,149.25373134328356
28,161.29032258064515
29,173.26732673267327
30,185.1851851851852
31,197.04433497536945
32,25.510204081632654
33,38.167938931297705
34,50.76142131979695
35,63.29113924050633
36,75.75757575757575
37,88.16120906801008
38,100.50251256281408
39,112.78195488721805
40,125.0
41,137.15710723192018
42,149.25373134328356
43,161.29032258064515
44,173.26732673267327
45,185.1851851851852
46,197.04433497536945
47,208.84520884520882
48,38.167938931297705
49,50.76142131979695
50,63.29113924050633
51,75.75757575757575
52,88.16120906801008
53,100.50251256281408
54,112.78195488721805
55,125.0
56,137.15710723192018
57,149.25373134328356
58,161.29032258064515
59,173.26732673267327
60,185.1851851851852
61,197.04433497536945
62,208.84520884520882
63,220.58823529411765
64,50.76142131979695
65,63.29113924050633
66,75.75757575757575
67,88.16120906801008
68,100.50251256281408
69,112.78195488721805
70,125.0
71,137.15710723192018
72,149.25373134328356
73,161.29032258064515
74,173.26732673267327
75,185.1851851851852
76,197.04433497536945
77,208.84520884520882
78,220.58823529411765
79,232.2738386308068
80,63.29113924050633
81,75.75757575757575
82,88.16120906801008
83,100.50251256281408
84,112.78195488721805
85,125.0
86,137.15710723192018
87,149.25373134328356
88,161.29032258064515
89,173.26732673267327
90,185.1851851851852
91,197.04433497536945
92,208.84520884520882
93,220.58823529411765
94,232.2738386308068
95,243.90243902439025
96,75.75757575757575
97,88.16120906801008
98,100.50251256281408
99,112.78195488721805
100,125.0
101,137.15710723192018
102,149.25373134328356
103,161.29032258064515
104,173.26732673267327
105,185.1851851851852
106,197.04433497536945
107,208.84520884520882
108,220.58823529411765
109,232.2738386308068
110,243.90243902439025
111,255.47445255474454
112,88.16120906801008
113,100.50251256281408
114,112.78195488721805
115,125.0
116,137.15710723192018
117,149.25373134328356
118,161.29032258064515
119,173.26732673267327
120,185.1851851851852
121,197.04433497536945
122,208.84520884520882
123,220.58823529411765
124,232.2738386308068
125,243.90243902439025
126,255.47445255474454
127,266.9902912621359
128,100.50251256281408
129,112.78195488721805
130,125.0
131,137.15710723192018
132,149.25373134328356
133,161.29032258064515
134,173.26732673267327
135,185.1851851851852
136,197.04433497536945
137,208.84520884520882
138,220.58823529411765
139,232.2738386308068
140,243.90243902439025
141,255.47445255474454
142,266.9902912621359
143,278.45036319612586
144,112.78195488721805
145,125.0
146,137.15710723192018
147,149.25373134328356
148,161.29032258064515
149,173.26732673267327
150,185.1851851851852
151,197.04433497536945
152,208.84520884520882
153,220.58823529411765
154,232.2738386308068
155,243.90243902439025
156,255.47445255474454
157,266.9902912621359
158,278.45036319612586
159,289.85507246376807
160,125.0
161,137.15710723192018
162,149.25373134328356
163,161.29032258064515
164,173.26732673267327
165,185.1851851851852
166,197.04433497536945
167,208.84520884520882
168,220.58823529411765
169,232.2738386308068
170,243.90243902439025
171,255.47445255474454
172,266.9902912621359
173,278.45036319612586
174,289.85507246376807
175,301.2048192771084
176,137.15710723192018
177,149.25373134328356
178,161.29032258064515
179,173.26732673267327
180,185.1851851851852
181,197.04433497536945
182,208.84520884520882
183,220.58823529411765
184,232.2738386308068
185,243.90243902439025
186,255.47445255474454
187,266.9902912621359
188,278.45036319612586
189,289.85507246376807
190,301.2048192771084
191,312.5
192,149.25373134328356
193,161.29032258064515
194,173.26732673267327
195,185.1851851851852
196,197.04433497536945
197,208.84520884520882
198,220.58823529411765
199,232.2738386308068
200,243.90243902439025
201,255.47445255474454
202,266.9902912621359
203,278.45036319612586
204,289.85507246376807
205,301.2048192771084
206,312.5
207,323.7410071942446
208,161.29032258064515
209,173.26732673267327
210,185.1851851851852
211,197.04433497536945
212,208.84520884520882
213,220.58823529411765
214,232.2738386308068
215,243.90243902439025
216,255.47445255474454
217,266.9902912621359
218,278.45036319612586
219,289.85507246376807
220,301.2048192771084
221,312.5
222,323.7410071942446
223,334.9282296650718
224,173.26732673267327
225,185.1851851851852
226,197.04433497536945
227,208.84520884520882
228,220.58823529411765
229,232.2738386308068
230,243.90243902439025
231,255.47445255474454
232,266.9902912621359
233,278.45036319612586
234,289.85507246376807
235,301.2048192771084
236,312.5
237,323.7410071942446
238,334.9282296650718
239,346.0620525059666
240,185.1851851851852
241,197.04433497536945
242,208.84520884520882
243,220.58823529411765
244,232.2738386308068
245,243.90243902439025
246,255.47445255474454
247,266.9902912621359
248,278.45036319612586
249,289.85507246376807
250,301.2048192771084
251,312.5
252,323.7410071942446
253,334.9282296650718
254,346.0620525059666
255,357.14285714285717
