dmc.rnd.tri,mV
0,0.4999505049000149
1,25.510204081632654
2,50.76142131979695
3,75.75757575757575
4,100.50251256281408
5,125.0
6,149.25373134328356
7,173.26732673267327
8,197.04433497536945
9,220.58823529411765
10,243.90243902439025
11,266.9902912621359
12,289.85507246376807
13,312.5
14,334.9282296650718
15,357.14285714285717
16,12.78772378516624
17,38.167938931297705
18,63.29113924050633
19,88.16120906801008
20,112.78195488721805
21,137.15710723192018
22,161.29032258064515
23,185.1851851851852
24,208.84520884520882
25,232.2738386308068
26,255.47445255474454
27,278.45036319612586
28,301.20481927710847
29,323.7410071942446
30,346.0620525059666
31,368.1710213776722
32,25.510204081632654
33,50.76142131979695
34,75.75757575757575
35,100.50251256281408
36,125.0
37,149.25373134328356
38,173.26732673267327
39,197.04433497536945
40,220.58823529411765
41,243.90243902439025
42,266.9902912621359
43,289.85507246376807
44,312.5
45,334.9282296650718
46,357.14285714285717
47,379.1469194312796
48,38.167938931297705
49,63.29113924050633
50,88.1612090680101
51,112.78195488721802
52,137.15710723192018
53,161.29032258064515
54,185.1851851851852
55,208.84520884520882
56,232.2738386308068
57,255.47445255474454
58,278.45036319612586
59,301.2048192771084
60,323.7410071942446
61,346.0620525059666
62,368.1710213776722
63,390.0709219858156
64,50.76142131979695
65,75.75757575757575
66,100.50251256281408
67,125.0
68,149.25373134328356
69,173.26732673267327
70,197.04433497536945
71,220.58823529411762
72,243.90243902439025
73,266.9902912621359
74,289.85507246376807
75,312.5
76,334.9282296650718
77,357.14285714285717
78,379.1469194312796
79,400.943396226415
80,63.29113924050633
81,88.16120906801008
82,112.78195488721805
83,137.15710723192018
84,161.29032258064515
85,185.1851851851852
86,208.84520884520882
87,232.27383863080684
88,255.47445255474454
89,278.45036319612586
90,301.20481927710847
91,323.7410071942446
92,346.0620525059666
93,368.1710213776722
94,390.0709219858156
95,411.764705882353
96,75.75757575757575
97,100.50251256281408
98,125.0
99,149.25373134328356
100,173.26732673267327
101,197.04433497536945
102,220.58823529411762
103,243.90243902439025
104,266.9902912621359
105,289.85507246376807
106,312.5
107,334.9282296650718
108,357.14285714285717
109,379.1469194312796
110,400.943396226415
111,422.5352112676057
112,88.16120906801008
